Title,Issue found,Step to reproduce,Actual result,Expected result,Severity,IEEE_Type,IEEE_Mode,IEEE_Insertion_Activity,IEEE_Effect,Reason/Recommendation,,
Logbook api stat cannot handle string procedure_group_code,dashboard logbook,1. add procedure group as a string like ~ ‘Nerasing’ 2. call api logbook_statistic 3.return 500,should return data,,Major,Data,Wrong,Coding,Performance,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Performance",,
Menu กดไม่ได้,เมนู กราฟของฉัน และ ความสำเร็จของฉัน กดไม่ได้,เข้าหน้าโปรไฟล์ > คลิก กราฟของฉัน หรือ ความสำเร็จของฉัน,ไม่สามารถคลิกเมนู กราฟของฉัน และ ความสำเร็จของฉัน ได้ ไม่ตอบสนอง,ใช้งานเมนูได้ปกติ,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
General: Conference time - part 2,Edit conference issue,ต่อจากพาท 1 (Teacher role) หากทำการกดปุ่ม edit โดยที่ยังไม่แก้ไขอะไร จะพบว่า Conference time จะถูกจัดเรียงใหม่เอง โดย เวลาจบ มากลายเป็น เวลาเริ่มกิจกรรมแทน // แต่ส่วนของเวลา เช็คอิน เช็คเอ้าท์ จะยังคงผิด และกด save //,เวลาก็จะยังแสดงค่า conference time ผิด (ต่างกับในหน้า edit ที่เห็นการสลับตำแหน่ง) และเครดิตยัง ติดลบ(บนios) หรือเป็น 0 (บน Android),ข้อมูลหน้า edit ควรมีการสร้าง condition ที่ตรงกับหน้าสรุปกิจกรรม และหน้าตอนสร้างกิจกรรม ไม่ควรเกิดการสลับตำแหน่งเองได้,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
Dashboard > view form ไม่ครบ,Dashboard แสดงข้อมูลไม่ครบ,1. เลือกเมนูแดชบอร์ด 2. เลื่อนมาบริเวณ Evaluation form completion 3. filter & search ข้อมูล 4. กดขยายผลลัพธ์ออกมาดูจะพบปุ่ม viewform 5. หากมีมากกว่า 10รายการ ก็จะพบแค่ 10รายการ max,แสดงแค่10รายการ,ควรแสดงครบทุกรายการ,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
General: Comment text invisible in Android dark mode,Comment box in procedure scence of teacher,1. set android to dark mode 2. try to comment procedure in procedure comment box,text cannot be seen,text should be able to seen,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
form ซ้ำ - Part 1,form ซ้ำ 2-4อันต่อการกด1ครั้ง,Student กดส่งform ชนิดต่างๆ และแชร์ลิ้งค์ จะได้ลิ้งค์ที่ต่างกัน,ขึ้นซ้ำ 2-4 อัน แต่หากมีการตอบ1อัน จะตอบครบทุกอันซ้ำกันทันที แม้จะคนละ link กัน,ไม่ควรเบิ้ล,Major,Logic,Extra,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Extra, Effect=Functionality",,
Procedure Log แสดง Satisfaction: Terrible ตลอดเวลา,procedure log detail,1. ไปที่หน้า procedure log detail 2. หัวข้อ satisfaction,procedure log ที่มาจากระบบเก่าจะขึ้นว่า terrible ทั้งหมดเพราะระบบเก่าไม่มี field performance,update field performance ของทุก Log ให้เป็น Okay/good ?,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
Approve all ส่ง Param ไปผิด,Approve All Modal,1. ใช้ role อาจารย์ 2. ไปที่หน้า Procedure Log 3. ใช้ Select log และ Approved,หลังบ้านลบค่าของ advisor ออกไปกลายเป็น null,,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
General: Conference time - part 5,Upcoming conference shows expired conference,(ต่อ) Login Student role (ที่ถูกAdd by creator) Conference จะไม่หายไปจาก Upcoming แม้จะเลยเวลาไปแล้วก็ตาม,ในหน้า Upcoming ของนักเรีบนแสดง conference ที่หมดอายุ,ไม่ควรพบรายการกิจกรรมที่หมดอายุใน Upcoming,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
General: Conference time - part 1,สร้าง Conference เวลาติดลบ & credit ติดลบได้,login ด้วย Teacher role และทำการสร้าง Conference และแก้ไขเฉพาะเวลาเริ่มกิจกรรมให้เลยเวลาปัจจุบันไป จากนั้นเลื่อนลงมา ทำแบบเดียวกันกับ เวลาเริ่มเช็คอินกิจกรรม,เวลาจบ จะมาก่อนเวลาเริ่ม และเครดิตจะติดลบ แต่หากกด save (android) credit จะเป็น 0 ในขณะที่ (ios) credit ยังติดลบ และไม่สามารถเข็คอินได้ แต่ creator สามารถ Add student เข้าได้ และเด็กจะเริ่มมองเห็นกิจกรรมดังกล่าว,ไม่ควรอนุญาตให้สร้าง เวลาเริ่ม หลังเวลาจบได้ หรือมีการเช็ค credit ต้องไม่0(android) หรือไม่ติดลบ(ios),Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
