Title,Issue found,Step to reproduce,Actual result,Expected result,Severity,IEEE_Type,IEEE_Mode,IEEE_Insertion_Activity,IEEE_Effect,Reason/Recommendation,,
แก้ไขให้ในหน้า dashboard ไม่แสดงสถานะ pending ของที่ form แนบ procedure ที่มีสถานะ draft,Procedure / Patient Care ที่มีสถานะ Draft ไปปรากฎใน Menu Home > Dashboard,"Login as Teacher
 1. Choose menu “Home”
 2. Select course “อายุรศาสตร์ ปี5”
 3. Select Department “Medicine”
 4. Select Menu “Form” under Sprlog Admin Dashboard
 5. Click “APPLY FILTERS”",Procedure / Patient Care ที่มีสถานะ Draft ไปปรากฎใน Menu Home > Dashboard,ให้หน้า Dashboard แสดงสถานะของ Form ที่แนบ Procedure / Patient Care ที่มีสถานะ Pending เท่านั้น,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
General: ในหน้า Form อยากให้ Department Admin สามารถ Filter ด้วย Menu Admin Filter ได้,ไม่มี Admin Filter Menu ใน Role ของ Department Admin,"Login as Teacher1
 1. Choose menu “Instructor”
 2. Select menu “My Form”
 3. Select “Filter” Menu",Roles: Department Admin ไม่สามารถใช้งาน Menu Admin Filter ในหน้า Form Menu ได้,Roles: Department Admin สามารถใช้งาน Menu Admin Filter ในหน้า Form Menu ได้,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
เพิ่ม Tags ของ Symptom และ Diagnosis ที่เพิ่มเข้ามาใหม่ของ Patient Care,Symptom (อาการนำ) และ Diagnosis (โรค/ภาวะ) ที่ได้ทำการ Add เข้าไปใหม่ใน Patient Care ยังไม่อยู่ใน Tags ค้นหาของ Orthopedics และ Anesthesiology,"Login as Student
 1. Select menu “Patient Care”
 2. Press + or Add Patient Care
 3. Choose “อาการนำ” or “โรค/ภาวะ” in Patient Care Detail
 4. Choose Tags “Orthopedics” or “Anesthesiology”",Symptom (อาการนำ) และ Diagnosis (โรค/ภาวะ) ที่ได้ทำการ Add เข้าไปใหม่ใน Patient Care ยังไม่อยู่ใน Tags ค้นหาของ Orthopedics และ Anesthesiology,Symptom (อาการนำ) และ Diagnosis (โรค/ภาวะ) ที่ได้ทำการ Add เข้าไปใหม่ใน Patient Care ไปปรากฎอยู่ใน Tags ค้นหาของ Orthopedics และ Anesthesiology,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ในหน้า Home ให้มีการแสดงสถานะของ Form ขึ้นมา,ในหน้า Home ปัจจุบัน ยังไม่มีสถานะของ Form มีแต่ Procedure และ Patient Care,"Login
 1. Select menu “Home”",ในหน้า Home ปัจจุบัน ยังไม่มีสถานะของ Form มีแต่ Procedure และ Patient Care,"อยากให้หน้า Home มีการแสดงสถานะ Form ด้วย (Draft, Submitted, Rejected, Approve)",Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ตรวจสอบการลง log/form ของ 69170,คุณหมอแจ้งว่าเคยลง procedure/form แล้วข้อมูลหาย,,,,Minor,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
กด Link ของ Conference แล้ว ขึ้นว่า No conference found,Conference Detail,กดเข้าไปดู conference จาก link ที่ admin ส่งให้ทาง Line,ขึ้นหน้า “No conference found.”,ทำ flow ให้เหมือนเวลากดดู form ที่ได้รับการแจ้งเตือนจากทาง email,Minor,Logic,Wrong,Coding,Functionality,จำแนกเป็น Logic/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
เพิ่ม Column Displacement เพื่อดูว่าระยะห่างระหว่าง Dutylog location ของ QR Code กับ ตำแหน่งที่ Student CheckIn - CheckOut,,"Login as Teacher
 1. Select menu “Admin”
 2. Select menu “Pivot”
 3. Select tab menu “Dutylog Hour”
 4. Choose รายวิชา “อายุรศาสตร์ปี 4”
 5. Rotation “อายุรศาสตร์ ปี4-ปี4 กลุ่ม 1”
 6. Select button “Preview”",มี Column Displacement ใน Pivot ของ Duty Log Hour,อาจารย์ Requirement มาว่าต้องการให้เพิ่ม Column Displacement ใน Pivot ของ Duty Log Hour เพื่อดูว่าระยะห่างระหว่าง Dutylog location ของ QR Code กับ ตำแหน่งที่ Student CheckIn - CheckOut,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Student can’t select procedure log after changed profile picture,"เมื่อคุณหมอทำการสร้าง Procedure และเลือก save เป็นรูปแบบ draft จากนั้นค่อยมาทำการแนบรูปใน Procedure ทีหลัง แต่ไม่สามารถเข้าไปทำการแก้ไขใน draft นั้นได้
 

 แม้ว่าจะทำการ kill app และเข้าใหม่แล้วก็ตาม จะต้องทำการ logout - login ใหม่เท่านั้น","Login as Student1
 1. Select profile picture
 2. Select button “Edit Profile”
 3. Select profile picture and change picture
 4. Select button “Save Changes”",คุณหมอไม่สามารถเลือกกดเข้าไปใน procedure log ได้,คุณหมอสามารถเลือกกดเข้าไปใน procedure log ได้,Major,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Sometimes student can’t change profile picture at first try.,เมื่อ login เข้ามาแล้วต้องการทำการเปลี่ยนรูป มากกว่า 1-2 ครั้งถึงจะสามารถเปลี่ยนรูป profile ได้ หรือ ต้อง kill app และ ทำการเปลี่ยนรูป มากกว่า 1-2 ครั้งเช่นกัน ถึงจะสามารถเปลี่ยนรูปได้,"Login as Student1
 1. Select profile picture
 2. Select button “Edit Profile”
 3. Select profile picture and change picture
 4. Select button “Save Changes”",เมื่อ login เข้ามาแล้วต้องการทำการเปลี่ยนรูป มากกว่า 1-2 ครั้งถึงจะสามารถเปลี่ยนรูป profile ได้ หรือ ต้อง kill app และ ทำการเปลี่ยนรูป มากกว่า 1-2 ครั้งเช่นกัน ถึงจะสามารถเปลี่ยนรูปได้,สามารถเปลี่ยนรูป profile ได้ตั้งแต่ครั้งแรกหลังจากทำการ login หรือ ทำการ kill app แล้วเข้าใหม่,Major,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
"When you refresh the screen or pull down in “Home” menu, your rotation will also change.",เมื่อทำการ pull refresh หรือดึงหน้าจอลง ในหน้าเมนู “Home” จะทำให้เปลี่ยน Rotation ไปเลย และทำให้ดูเหมือนว่าข้อหาย หาข้อมูลไม่เจอ,"Login as Student
 1. Pull refresh or scroll down in “Home” menu",เมื่อทำการ pull refresh หรือดึงหน้าจอลง ในหน้าเมนู “Home” จะทำให้เปลี่ยน Rotation ไปเลย และทำให้ดูเหมือนว่าข้อหาย หาข้อมูลไม่เจอ,เมื่อทำการ pull refresh หรือดึงหน้าจอลง ในหน้าเมนู “Home” จะไม่ทำให้เปลี่ยน Rotation,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ผู้ประเมินไม่สามารถกดเข้าไปใน Form ประเภท 360 ได้,เมื่อ Student ทำการส่ง Form ที่เป็นประเภท 360 แล้วเลือกผู้ประเมินเป็น Student ด้วยกัน จะทำให้ผู้ถูกประเมิณ ไม่สามารถกดเข้าไปดู Form ได้ แล้วจะเจอกับคนเกาหัว,"Login as student1
 1. Select menu “Form”
 2. Select menu “Add Form”
 3. Select form “Peer Evaluation”
 4. Select Evaluator as Student “Mr. Student Zero”
 5. Click “Send”
 6. Open Peer Evaluation Form",พบเจอคนเกาหัวเมื่อกดเข้า Form 360 ของผู้ประเมิน และไม่สามารถเข้าไปประเมิน form ได้,จะไม่พบเจอคนเกาหัวเมื่อกดเข้า Form 360 ของผู้ประเมิน และสามารถเข้าไปประเมิน form ได้,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ผู้ที่สร้างแบบประเมินไม่สามารถกดเข้าไปใน Form ประเภท 360 ได้,เมื่อ Student ทำการส่ง Form ที่เป็นประเภท 360 แล้วเลือกผู้ประเมินเป็น Student ด้วยกัน จะทำให้ผู้ที่สร้างแบบประเมิน ไม่สามารถกดเข้าไปดูแบบ Form ที่ตัวเองสร้างขึ้นมาได้ แล้วจะเจอกับคนเกาหัว,"Login as student1
 1. Select menu “Form”
 2. Select menu “Add Form”
 3. Select form “Peer Evaluation”
 4. Select Evaluator as Student “Mr. Student Zero”
 5. Click “Send”
 6. Open Peer Evaluation Form",พบเจอคนเกาหัวเมื่อกดเข้า Form 360 ของผู้ที่เป็นคนสร้างแบบประเมิน และไม่สามารถเข้าไปดูแบบ form ที่ตัวเองสร้างได้,จะไม่พบเจอคนเกาหัวเมื่อกดเข้า Form 360 ของผู้ที่เป็นคนสร้างแบบประเมิน และสามารถเข้าไปดูแบบ form ที่ตัวเองสร้างได้,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ไม่มีแจ้งเตือนในช่อง Inbox เมื่อได้รับ Form แบบประเมิน,เมื่อนิสิตส่งแบบประเมิน หรือ Form มาให้กับอาจารย์ แบบประเมินนั้นจะไม่ถูกแจ้งเตือนหรือเพิ่มเข้ายังช่องจดหมาย “Inbox”,"Login as student1
 1. Select menu “Form”
 2. Select menu “Add Form”
 3. Select form “EPA1”
 4. Select Evaluator as “teacher1”
 5. Click “Send”
 

 Login as teacher1
 1. Select menu “Inbox” or mail icon",ไม่มีแจ้งเตือนในช่อง Inbox เมื่อได้รับแบบประเมิน แต่แบบประเมินขึ้นในหน้า Form ปกติ,ต้องมีเลขและการแจ้งเตือนในช่อง Inbox เมื่อได้รับแบบประเมิน เมื่อแบบประเมินขึ้นในหน้า Form,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ไม่สามารถ Load Data ในเมนู Portfolio ได้,เมื่อกดเข้าไปยังเมนู Portfolio แล้วระบบจะขึ้นว่า “Cannot Load Data” และไม่สามารถโหลดข้อมูลในหน้า Portfolio ได้,"Login as student
 1. Select menu “Home”
 2. Select menu “Portfolio”",เมื่อกดเข้าไปยังเมนู Portfolio แล้วระบบจะขึ้นว่า “Cannot Load Data” และไม่สามารถโหลดข้อมูลในหน้า Portfolio ได้,เมื่อกดเข้าไปยังเมนู Portfolio จะไม่แสดงคำว่า “Cannot Load Data” และสามารถโหลดข้อมูลในหน้า Portfolio ได้,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Your department disappear when you save or cancel in edit profile,"1. เมื่อ Teacher ทำการแก้ไขหรือ Edit Profile และทำการ Save Changes หลังจากสลับเมนูกลับไปมา ปรากฎว่า Department ประจำตัวหายไป
 2. เมื่อ Teacher เข้าไปใน Edit Profile แต่ยังไม่ได้ทำการเปลี่ยนแปลง และกด Cancel ปรากฎว่า Department, Email และ Phone number หายไป","Login as Teacher001 [Save button]
 1. Select Profile Menu
 2. Select menu “Edit Profile”
 3. Change “Nickname, e-mail or phone”
 4. Then press “Save Changes” button
 5. Switch “Back” to Home page
 6. Switch back to Profile Menu again
 

 Login as Teacher002 [Cancel button]
 1. Select Profile Menu
 2. Select menu “Edit Profile”
 3. Then press “Cancel” button
 4. Switch “Back” to Home page
 5. Switch back to Profile Menu again","สำหรับการ “Save Changes”
 เมื่อทำการเปลี่ยนแปลงข้อมูลในหน้าโปรไฟล์และกด save จากนั้นสลับเมนูกลับมาดู ปรากฎว่า Department หายไป
 

 สำหรับการ “Cancel”
 เมื่อทำการกด cancel จากนั้นสลับเมนูกลับมาดู ปรากฎว่า Department, e-mail และ phone หายไป",เมื่อทำการเปลี่ยนแปลง แก้ไข หรือ Edit Profile จากนั้นกด Save or cancel ข้อมูลจะไม่หายไป,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
form ไม่แสดงในเมนู form ของ teacher เนื่องจาก student/teacher ไม่ได้อยู่ Place เดียวกัน,,,,,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
form ที่ส่งมาไม่แสดงใน inbox,,,,,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
จำนวน Procedure บนระบบใหม่แสดงจำนวนไม่ตรงเมื่อเทียบกับระบบเก่าในเมนู Procedure Log,"1. เคสในระบบใหม่แสดงไม่ครบ ขาดหายไป 30 หัตถการเมื่อเทียบจากระบบเก่าในหน้าเมนู Procedure Log จากเดิม 184 หัตถการ
 

 2. เคสในระบบใหม่แสดงไม่ครบ ขาดหายไป 8 หัตถการเมื่อเทียบจากระบบเก่าในหน้าเมนู Procedure Log จากเดิม 200 หัตถการ","Login as 65110
 1. Select menu “Home”
 2. Select menu “Procedure Log”
 

 Login as 62487
 1. Select menu “Home”
 2. Select menu “Procedure Log”","1. จำนวน Procedure ที่แสดงในเมนู Procedure Log บนระบบใหม่แสดง 153 หัตถการไม่ครบเมื่อเทียบกับระบบเก่าอยู่ที่ 184 หัตถการ คือหายไปจำนวน 31 หัตถการ
 

 2. จำนวน Procedure ที่แสดงในเมนู Procedure Log บนระบบใหม่แสดง 192 หัตถการไม่ครบเมื่อเทียบกับระบบเก่าอยู่ที่ 200 หัตถการ คือหายไปจำนวน 8 หัตถการ","1. จำนวน Procedure ที่แสดงในเมนู Procedure Log บนระบบใหม่ต้องแสดงจำนวนครบทุกหัตถการเมื่อเทียบกับระบบเก่าอยู่ที่ทั้งหมดคือ 184 หัตถการ
 

 2. จำนวน Procedure ที่แสดงในเมนู Procedure Log บนระบบใหม่ต้องแสดงจำนวนครบทุกหัตถการเมื่อเทียบกับระบบเก่าอยู่ที่ทั้งหมดคือ 200 หัตถการ",Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
กด approve procedure แล้วขึ้น cannot update data B,เมื่ออาจารย์ทำการ กด approve procedure บนเว็บไซต์ ระบบจะขึ้นแจ้งเตือนว่า “cannot update data B”,,เมื่ออาจารย์ทำการ กด approve procedure บนเว็บไซต์ ระบบจะขึ้นแจ้งเตือนว่า “cannot update data B”,เมื่ออาจารย์ทำการ กด approve procedure บนเว็บไซต์ จะไม่เจอกับข้อความแจ้งเตือนว่า “cannot update data B”,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
Data แสดงบนเว็บไซต์ แต่ไม่แสดงบนมือถือหรือแสดงไม่ครบ,Data ที่แสดงบนมือถือ ไม่แสดงหรือแสดงไม่ครบและไม่ตรงกับ Data ที่แสดงบนเว็บไซต์,"Login as 30883
 1. Select menu “Home”
 2. Select menu “Procedure Log”
 

 Login as 22651
 1. Select menu “Home”
 2. Select menu “Procedure Log”
 

 Login as 19653
 1. Select menu “Home”
 2. Select menu “Procedure Log”",Data ที่แสดงบนมือถือ ไม่แสดงหรือแสดงไม่ครบและไม่ตรงกับ Data ที่แสดงบนเว็บไซต์,"Data ที่แสดงบนมือถือต้องแสดง, แสดงให้ครบและตรงกับ Data ที่แสดงบนเว็บไซต์",Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
[General] ขึ้น No permission ในหน้า Procedure Log,เมื่อทำการเลือก Role ที่เป็น Institute Admin อย่างเดียวโดยที่ไม่ได้เลือกคู่กับ Instructor/Staff ปรากฎว่า เมื่อเข้าเมนู Procedure Log จะเจอกับคำว่า “No permission”,,เมื่อเลือก Role แค่ “Institute Admin” อย่างเดียว เมื่อเข้าเมนู Procedure Log จะพบกับคำว่า “No permission”,เมื่อเลือก Role แค่ “Institute Admin” อย่างเดียว เมื่อเข้าเมนู Procedure Log จะไม่พบกับคำว่า “No permission”,Major,Logic,Missing,Requirements,Security,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Logic (Missing),,
เมื่อทำการ Save draft หรือ Submit Procedure Log แล้วชื่อของ Procedure หายไป,เมื่อทำการ Save draft หรือ Submit Procedure Log แล้วชื่อของ Procedure หายไป,"Login as Student001
 1. Select menu “Procedure Log”
 2. Click “+Add Procedure Log”
 3. กรอกข้อมูล Procedure ต่างๆ
 4. Click “Save Draft” or “Submit”",เมื่อทำการ Save draft หรือ Submit Procedure Log แล้วชื่อของ Procedure หายไป,เมื่อทำการ Save draft หรือ Submit Procedure Log แล้วชื่อของ Procedure จะปรากฎหรือไม่หายไป,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
user ไม่สามารถ export เองได้เนื่องจาก export ระเบิด,user ไม่สามารถ export เองได้เนื่องจาก export ระเบิด,,,,Critical,Data,Wrong,Coding,Performance,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
"เมนู Filter ใน Dashboard > Evaluation Form Completion, Filter ข้อมูลออกมาไม่ถูกต้อง",เมื่อทำการเลือก Student Group มา 1 group ปรากฎว่าเมื่อกด Search จะได้ข้อมูลของ Student Group อื่นมาแสดงด้วย,"Login as teacher
 1. Select menu “Dashboard”
 2. Scroll down to “Evaluation Form Completion”
 3. กรอกข้อมูลตามที่แนบ
 - Rotation: 2022
 - Form: EPA3 Document
 - Institute: คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์
 - Student group: 65_MDPSU
 4. Click “Search”",เมื่อทำการเลือก Student Group มา 1 group ปรากฎว่าเมื่อกด Search จะได้ข้อมูลของ Student Group อื่นมาแสดงด้วย,ข้อมูลที่ทำการ Filter มาจะตรงกับข้อมูลที่เลือก,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ไม่สามารถดู “Dashboard Superset” ได้,,"Login as teacher001
 1. Select menu “Home”",เมื่อเข้าระบบแล้วเข้าดูเมนู “Home” จะไม่สามารถเข้าดูข้อมูลได้ จะแสดงว่าปฏิเสธการเชื่อมต่อ,จะสามารถดูข้อมูลในเมนู “Home” ได้,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Credit < 1 จะถูกปัดลงและแสดงเป็น 0 credit (1hr = 1cr),เมื่อทำการสร้าง Conference ที่ระยะเวลาน้อยกว่า 1 ชม. การคำนวณ Credit ที่ได้จะต่ำกว่า 1 และจะแสดงผลในค่าของ Credit ปัดลงเป็น 0 นั่นเอง,"Login as teacher1 on mobile
 1. Select menu “Conference”
 2. Select “+create”
 3. กรอกข้อมูล conference
 4. Select ระยะเวลา Start - End ให้ต่ำกว่า 1 ชม.
 5. Select attending type as “Attend on time”
 6. Select conference type as “Book club”
 7. Then click “Create”",Conference ที่ต่ำกว่า 1 ชม. จะได้ credit ต่ำกว่า 1 และแสดงผลปัดลงแล้วแสดงเป็น 0 แทน แต่ค่า credit ยังคงเดิม แค่แสดงผลปัดลงเป็น 0 หรือเกิดจากการปัดเลขเครดิตที่เป็นทศนิยม,แก้ไขจำนวน credit ตรงส่วน conference นี้ให้คำนวณถูกต้อง,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
[General] ข้อมูลในหน้า Profile ไม่แสดงถ้าไม่เลือกคู่กับ Instructor/staff,เมื่อทำการเลือกให้อาจารย์เป็น Department หรือ Institute Admin แล้วไม่ได้เลือกคู่กับ Instructor/staff จะทำให้ในหน้า Profile page ไม่ขึ้น Department และ UI จะเพิ่มในส่วนแถบข้อมูลของ Student ขึ้นมาเพิ่ม,,Department หาย และขึ้นแถบข้อมูลเหมือน role student,จะสามารถเลือก Department หรือ Institute Admin ให้อาจารย์โดยที่ไม่ต้องเลือก Instructor/staff ด้วยได้และข้อมูลจะแสดงปกติ,Major,Interface,Missing,Requirements,Security,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Missing),,
Logbook Submission Report crash on android,เมื่อกดเข้าเมนู Logbook Submission Report บนมือถือ Android ปรากฎว่า app crash และเด้งออกจาก app,"Login as student1
 1. Select menu “Profile”
 2. Select menu “Logbook Submission Report”",เด้งออกจาก app เมื่อกด logbook submission report on android,เมื่อกดเข้าเมนู Logbook Submission Report บนมือถือ Android จะไม่เด้งออกจาก app,Critical,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Export as XLSX แล้วขึ้น “Error loading XLS! Please check your filters”,ไม่สามารถทำการ export as xlsx ได้,,เมื่อกด export as xlsx แล้วระบบขึ้นแจ้งเจือนว่า “Error loading XLS! Please check your filters”,เมื่อกด export as xlsx แล้วสามารถ export file ออกมาได้,Major,Data,Wrong,Coding,Performance,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
แก้เมนู Export เมื่อกด Preview หากพบเจอ NaN อยากให้ เป็นค่าว่างแทน,,,,,Major,Interface,Wrong,Design,Usability,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Wrong),,
ซ่อนปุ่ม Revert to draft ในหน้า Procedure Log Details ของ Teacher,หน้า Procedure Log Details,"1. Login ด้วย Role Teacher
 2. ไปที่ Menu Procedure Log
 3. กดเข้าไปดู Log ที่ Student ส่งมา",อาจารย์สามารถกดปุ่ม Revert to draft ได้,ควรจะมีแค่ student เท่านั้นที่เห็นปุ่ม Revert to draft และกดได้,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
[General] Form Type edit failing with 'Cannot update data' error.,"เมื่อทำการกด Edit ของ Form type ที่สร้างขึ้นมาใหม่ จะไม่สามารถกด edit ได้ และจะแจ้งข้อความเตือนว่า ""Cannot update data""","Steps:
 1) Navigate to the Form Type page
 2) Click on the ""New"" button
 3) Enter a form type name
 4) Click the ""Save"" button
 5) Click on the ""Edit"" button for the newly created form type
 6) Modify the form type name
 7) Click the ""Save"" button
 8) See the ""Cannot update data"" error message","ขึ้นแสดง ""Cannot update data"" เมื่อกด edit Form type","สามารถทำการกด edit ได้และไม่ขึ้นข้อความแจ้งเตือน ""Cannot update data""",Major,Interface,Missing,Design,Usability,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Usability ในขั้นตอน Design,,
[General] When change question type to 'multiple check' will show 'Cannot edit. You are in view/read-only mode',เมื่อทำการเลือก qtype เป็น “multiple check” ระบบจะขึ้นแสดงว่า 'Cannot edit. You are in view/read-only mode' แต่ยังสามารถแก้ไขแบบประเมินได้ตามปกติ,"Steps:
 Navigate to the Questions tab
 Click on 'add new question here'
 Select 'multiple choice' as the question type
 Enter a qcode and title
 Attempt to change question type to 'multiple check'
 Observe the 'Cannot edit. You are in view/read-only mode' error
 Attempt to add new choices
 Observe the 'Cannot edit. You are in view/read-only mode' error
 Try changing question type and choices again.
 Observe the 'Cannot edit. You are in view/read-only mode' error",ระบบขึ้นแจ้งเตือน 'Cannot edit. You are in view/read-only mode' ทุกครั้งที่มีการเปลี่ยนแปลงคำถามในหัวข้อ qtype = multipe check,เมื่อเลือก qtype = multiple check จะไม่มีการแจ้งเตือนขึ้นแสดงว่า 'Cannot edit. You are in view/read-only mode',Major,Interface,Missing,Design,Functionality,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Design,,
"เคสที่เคยลงไปในช่วง 2023, 2024 ข้อมูลหายกลายเป็น Draft","เคสที่เคยลงไปในช่วง 2023, 2024 ข้อมูลหายกลายเป็น Draft",,,อาจจะต้องทำ username ของนักเรียนคนนี้ ไปเปรียบเทียบกับข้อมูลเก่าครับ,Minor,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
Institute Admin can’t see answer (loading) if evaluator select ✅ Allow requester to see all answer,หากอาจารย์ผู้ประเมินมีการเลือก Allow Allow requester to see all answer แล้วเมื่อแอดมินสถาบันหรือ Institute Admin กดเข้าไปดูแบบประเมินดังกล่าว ปรากฏว่าจะไม่เห็นคำตอบและความคิดเห็นต่างๆจะเป็นคำว่า loading,"1. Navigate to the form
 2. Scroll to the bottom of the form
 3. Uncheck the ""Allow requester to see all answers"" checkbox
 4. Check the ""Allow requester to see all answers"" checkbox
 5. Uncheck the ""Allow requester to see all answers"" checkbox again
 6. See the error",Institute Admin กดเข้าไปดูแบบประเมินดังกล่าว ปรากฏว่าจะไม่เห็นคำตอบและความคิดเห็นต่างๆจะเป็นคำว่า loading เมื่ออาจารย์ผู้ประเมินทำการเลือก Allow Allow requester to see all answer,ความจริงแล้วแอดมินสถาบันหรือ Institute Admin ควรเห็นคำตอบทั้งหมดหรือไม่แม้จะเลือก Allow requester to see all answer ก็ตาม,Major,Interface,Wrong,Design,Performance,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Performance ในขั้นตอน Design,,
[General] เมื่อกด +Add Procedure ย้ำๆ แล้วปรากฏว่าได้ log เป็น draft ขึ้นมาซ้ำกันเท่ากับจำนวนที่กดปุ่ม,"1. Website มีการบันทึก draft ที่ต่างจาก mobile เมื่อกด + Add ซ้ำๆกันปรากฏว่า จะไม่มีการบันทึก draft เปล่าๆ แต่จะเปิดหน้า Procedure draft ขึ้นตามจำนวนครั้งที่กด แต่สามารถกด back เพื่อออกไปหน้าหลักได้และไม่บันทึกเป็น draft
 

 2. Mobile เมื่อกด + Add ซ้ำๆกันปรากฏว่า มีการเปิด Procedure Draft ขึ้นมาซ้ำตามจำนวนที่กดปุ่ม และบันทึกเคสเหล่านั้นเป็น draft ให้อัตโนมัติ ความแตกต่างของทั้งสองคือ บน website ถึงแม้จะบันทึกหรือส่ง case แรกแล้วก็จะแสดง draft ที่เหลือตามจำนวนที่กด ซึ่งจะสามารถกด back กลับไปแล้วไม่บันทึกเป็น Draft ได้, บน mobile เมื่อบันทึกหรือส่ง case แรกแล้วจะไม่แสดง draft ที่เหลือที่กดซ้ำ แต่จะไปบันทึกเป็น draft เปล่าๆในหน้า Procedure Log แทนและนักเรียนไม่รู้ตัวเลยคิดว่าเคสข้อมูลหายนั่นเองครับ",,เมื่อกด +Add Procedure ย้ำๆ แล้วปรากฏว่าได้ log เป็น draft ขึ้นมาซ้ำกันเท่ากับจำนวนที่กดปุ่ม,,Major,Interface,Missing,Design,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Missing),,
